sortnum,lat, lng
0,37.486935,127.1018995
1,37.4868736,127.1019901
2,37.4868029,127.1020825
3,37.4867305,127.1021609
4,37.4866627,127.1022599
5,37.4865896,127.1023351
6,37.486536,127.1024569
7,37.4866174,127.1025571
8,37.486713,127.1025406
9,37.486613,127.1024844
10,37.4865237,127.1024309
11,37.4864308,127.1024117
12,37.4863382,127.1023696
13,37.4862526,127.1023306
14,37.4861952,127.1022366
15,37.4861957,127.1021173
16,37.4862057,127.1019956
17,37.4861282,127.1019265
18,37.4860496,127.1018609
19,37.4859675,127.1018085
20,37.4858935,127.1017338
21,37.4858677,127.1016135
22,37.4858174,127.1015093
23,37.4857498,127.1014224
24,37.4856813,127.1013483
25,37.4856117,127.1012669
26,37.4855133,127.1012528
27,37.4854188,127.1012964
28,37.4853243,127.1013216
29,37.485229,127.1013559
30,37.4851452,127.1014141
31,37.4850557,127.1014654
32,37.4849809,127.1015358
33,37.4849053,127.1016137
34,37.4848111,127.1016609
35,37.4847427,127.1017411
36,37.4846442,127.1017501
37,37.4845497,127.1017219
38,37.4844653,127.101678
39,37.484393,127.1016065
40,37.4843091,127.1015466
41,37.4842288,127.1014944
42,37.4841419,127.1014435
43,37.4840584,127.1013852
44,37.4839746,127.1013195
45,37.4838956,127.1012466
46,37.4838076,127.101201
47,37.483729,127.1011318
48,37.4836596,127.1010432
49,37.4835929,127.1009541
50,37.4835578,127.1008355
51,37.4834902,127.1007454
52,37.4834467,127.1006438
53,37.4834204,127.1005175
54,37.4834123,127.1003959
55,37.4833957,127.1002768
56,37.4833652,127.1001532
57,37.483349,127.1000294
58,37.4833139,127.0999218
59,37.483267,127.0998029
60,37.4832289,127.0996947
61,37.4831677,127.0995917
62,37.4831133,127.0994991
63,37.4830571,127.099406
64,37.4829984,127.099273
65,37.4829311,127.09919
66,37.48286,127.099118
67,37.4828035,127.0990266
68,37.4827539,127.0989252
69,37.4826994,127.0988205
70,37.4826375,127.0987155
71,37.482578,127.0986179
72,37.482499,127.0985368
73,37.4824174,127.0984608
74,37.4823409,127.0983983
75,37.4822762,127.0983148
76,37.4822236,127.0981967
77,37.4821546,127.0981221
78,37.4821152,127.0980173
79,37.4820362,127.0979367
80,37.4819553,127.0978844
81,37.4818674,127.0978416
82,37.4817973,127.0977619
83,37.4817328,127.0976817
84,37.4816284,127.0976594
85,37.4815319,127.0976339
86,37.4814365,127.0976646
87,37.481344,127.0976462
88,37.4812551,127.0976164
89,37.481159,127.0975978
90,37.4810479,127.0976207
91,37.4809555,127.0976927
92,37.4808653,127.0976658
93,37.4807617,127.0976562
94,37.4806833,127.0977174
95,37.4806542,127.0978365
96,37.4805871,127.0979368
97,37.4804923,127.0979848
98,37.4804188,127.0980561
99,37.4803566,127.0981521
100,37.4802758,127.098205
101,37.4801848,127.0982277
102,37.480093,127.0982363
103,37.4799962,127.0982311
104,37.4798995,127.0981833
105,37.479805,127.0981623
106,37.4797079,127.098139
107,37.4796118,127.098127
108,37.4795276,127.0980864
109,37.4794338,127.0980787
110,37.4793428,127.0980768
111,37.479248,127.0981187
112,37.4791666,127.0980567
113,37.4790779,127.098019
114,37.4790674,127.0979057
115,37.4790489,127.0977917
116,37.4790033,127.0976707
117,37.4789869,127.0975451
118,37.4789841,127.0974191
119,37.4790038,127.0972891
120,37.4789901,127.0971721
121,37.4789672,127.0970598
122,37.4789751,127.0969315
123,37.4790027,127.0968135
124,37.4790203,127.0966952
125,37.4789971,127.0965839
126,37.4789374,127.096465
127,37.4789523,127.0963496
128,37.4789777,127.0962323
129,37.4789645,127.0961143
130,37.4789759,127.0959738
131,37.4789545,127.0958617
132,37.4788565,127.0957693
133,37.4787904,127.0956851
134,37.4787182,127.0955938
135,37.4786835,127.0954751
136,37.4786312,127.0953789
137,37.4785721,127.0952668
138,37.4785325,127.0951415
139,37.4785069,127.0950202
140,37.4784952,127.0948904
141,37.4784935,127.0947513
142,37.4785254,127.0946388
143,37.478533,127.0945194
144,37.4785265,127.094402
145,37.4785317,127.0942739
146,37.4785089,127.0941552
147,37.4785197,127.094036
148,37.4784998,127.09392
149,37.4785768,127.0938435
150,37.4786706,127.0938179
151,37.4787607,127.0937619
152,37.4788178,127.0936658
153,37.4788509,127.0935586
154,37.4788739,127.0934476
155,37.4788398,127.0933317
156,37.4788106,127.0932206
157,37.4788299,127.0931076
158,37.4788196,127.092993
159,37.4788179,127.0928728
160,37.4787938,127.0927635
161,37.4787631,127.09265
162,37.4786997,127.0925662
163,37.4786297,127.0924823
164,37.4785557,127.0924034
165,37.4784782,127.0923357
166,37.478425,127.0922342
167,37.4784177,127.0921158
168,37.478384,127.0920013
169,37.4783134,127.0919131
170,37.4782591,127.0918116
171,37.4782365,127.0916912
172,37.4782724,127.0915732
173,37.4782863,127.0914562
174,37.4783276,127.0913424
175,37.4783623,127.0912351
176,37.4784038,127.0911323
177,37.4784044,127.0910163
178,37.4784107,127.0908938
179,37.4784148,127.090766
180,37.4784013,127.0906412
181,37.4784385,127.0905288
182,37.4784343,127.0904092
183,37.4783879,127.0903022
184,37.4783804,127.090176
185,37.4783427,127.0900566
186,37.4783325,127.0899242
187,37.4783379,127.089808
188,37.4783529,127.0896843
189,37.4783038,127.0895878
190,37.4783005,127.0894717
191,37.4783514,127.0893722
192,37.4784329,127.0892917
193,37.4784717,127.0891744
194,37.4785137,127.0890659
195,37.4785197,127.0889408
196,37.4785594,127.0888361
197,37.4786014,127.0887277
198,37.4786541,127.088623
199,37.4786769,127.0885123
200,37.4787111,127.0883923
201,37.4787388,127.0882815
