sortnum,lat, lng
0,37.5454731,127.1041096
1,37.5454026,127.1042175
2,37.5453482,127.1043112
3,37.54529,127.1044094
4,37.5452506,127.1045311
5,37.545245,127.1046534
6,37.5451925,127.1047768
7,37.5452054,127.1049051
8,37.5453037,127.1048981
9,37.5453894,127.1049382
10,37.5454737,127.1050118
11,37.545567,127.1050342
12,37.5456538,127.1050968
13,37.5456975,127.1052073
14,37.5457635,127.1052976
15,37.5458509,127.1053706
16,37.5459468,127.1054284
17,37.5460281,127.1055018
18,37.5461001,127.1055768
19,37.5461147,127.1056886
20,37.5461963,127.1057417
21,37.5462928,127.1057687
22,37.5463784,127.1058273
23,37.5464659,127.1058761
24,37.5464889,127.1059882
25,37.5464897,127.1061146
26,37.5465863,127.1061708
27,37.5466106,127.1062894
28,37.5465878,127.1064121
29,37.5465644,127.1065304
30,37.5464971,127.1066459
31,37.546492,127.1067639
32,37.5464846,127.1068847
33,37.5464494,127.1069923
34,37.5464016,127.1071116
35,37.5463873,127.1072435
36,37.5463889,127.1073573
37,37.5463809,127.1074769
38,37.5463913,127.1075902
39,37.5463541,127.1077029
40,37.546304,127.1078215
41,37.546263,127.1079246
42,37.5462222,127.1080368
43,37.5461703,127.1081409
44,37.5461648,127.1082624
45,37.5461477,127.1083744
46,37.546163,127.1084997
47,37.5461243,127.1086109
48,37.5460939,127.1087335
49,37.5460571,127.1088475
50,37.5460535,127.1089609
51,37.5459825,127.109066
52,37.5459701,127.1091796
53,37.5459471,127.1092909
54,37.5459251,127.109406
55,37.5458927,127.1095243
56,37.5458592,127.1096334
57,37.5457982,127.1097389
58,37.5457652,127.1098582
59,37.5457442,127.1099746
60,37.5457173,127.1100855
61,37.5456785,127.1102012
62,37.545651,127.1103292
63,37.5456131,127.11045
64,37.5455612,127.1105541
65,37.5455167,127.1106615
66,37.5454678,127.1107749
67,37.5454537,127.1108894
68,37.5454262,127.1110049
69,37.545399,127.1111398
70,37.5453662,127.1112496
71,37.5453218,127.111357
72,37.5452714,127.1114515
73,37.5452334,127.1115709
74,37.545213,127.1116873
75,37.5451744,127.1118023
76,37.5451594,127.111915
77,37.545111,127.1120193
78,37.5450638,127.1121278
79,37.545036,127.1122552
80,37.5449869,127.1123806
81,37.5449399,127.1124839
82,37.5448934,127.1125976
83,37.5448654,127.1127131
84,37.5448441,127.112833
85,37.5448207,127.1129509
86,37.5447689,127.1130667
87,37.5447309,127.1131847
88,37.5446924,127.1133036
89,37.5446601,127.1134259
90,37.5446347,127.1135508
91,37.5445837,127.1136627
92,37.5445574,127.1137726
93,37.5445238,127.1138899
94,37.5444795,127.1139908
95,37.5444368,127.1141177
96,37.5443916,127.1142356
97,37.5443722,127.1143505
98,37.5443331,127.1144765
99,37.544297,127.1145832
100,37.5442583,127.1146881
101,37.5442306,127.114797
102,37.5441967,127.1149233
103,37.5441587,127.1150413
104,37.5441286,127.1151534
105,37.544103,127.1152793
106,37.5440704,127.1153986
107,37.5440275,127.1155089
108,37.5439925,127.1156284
109,37.5439484,127.1157364
110,37.5439098,127.1158505
111,37.5438812,127.1159691
112,37.5438506,127.1160757
113,37.543814,127.1161983
114,37.543782,127.116309
115,37.5437298,127.1164176
116,37.5436938,127.1165411
117,37.5436482,127.1166425
118,37.5436251,127.1167525
119,37.5436085,127.1168663
120,37.5435782,127.116984
121,37.543539,127.1170926
122,37.5434912,127.1172051
123,37.5434565,127.1173141
124,37.5434084,127.1174164
125,37.5433715,127.1175229
126,37.5433335,127.1176365
127,37.5433248,127.1177538
128,37.5433077,127.117878
129,37.5432642,127.1179816
130,37.5432221,127.1180958
131,37.5431648,127.1181959
132,37.543122,127.1183034
133,37.5430831,127.1184229
134,37.5430555,127.1185433
135,37.5430415,127.1186724
136,37.5430035,127.1187875
137,37.5429686,127.1189092
138,37.5429114,127.1190201
139,37.5428797,127.1191381
140,37.5427889,127.1191089
141,37.5427047,127.1190556
142,37.5426244,127.1189807
143,37.5425484,127.1188987
144,37.5424713,127.1188313
145,37.5423941,127.1187497
146,37.5423839,127.1186344
147,37.5423228,127.118525
148,37.5422382,127.1184507
149,37.5421766,127.1183605
150,37.5420971,127.1182859
151,37.5420153,127.1182112
152,37.5419528,127.1181187
153,37.5418909,127.1180193
154,37.5418261,127.1179299
155,37.5417659,127.1178378
156,37.5417417,127.1177236
157,37.541837,127.1177473
158,37.5419272,127.1178038
159,37.5420016,127.1178844
160,37.5420755,127.1179764
161,37.5421418,127.1180631
162,37.5422205,127.1181424
163,37.5423086,127.1182045
164,37.5423942,127.1182756
165,37.5424728,127.1183353
166,37.5425405,127.1184205
167,37.5426218,127.1184884
168,37.5426935,127.1185676
169,37.542782,127.1186305
170,37.5428673,127.1186718
171,37.5429443,127.1187362
172,37.5430408,127.11878
173,37.5431246,127.1188273
174,37.5432171,127.1188691
175,37.5433073,127.1189218
176,37.5433944,127.118963
177,37.5434779,127.11902
178,37.5435666,127.1190478
179,37.543661,127.119091
180,37.5437506,127.1191367
181,37.5438423,127.1191879
182,37.5439376,127.1192236
183,37.5440274,127.1191671
184,37.5441186,127.1192073
185,37.544217,127.1192232
186,37.5443198,127.1191914
187,37.5444162,127.1191921
188,37.5445285,127.1191848
189,37.5446244,127.1191893
190,37.5447145,127.119199
191,37.5448085,127.119214
192,37.5448945,127.1192567
193,37.5449886,127.1192805
194,37.5450779,127.1193486
195,37.5451581,127.1194309
196,37.5452196,127.1195238
197,37.5452675,127.1196326
198,37.5453289,127.1197268
199,37.5454225,127.1197705
200,37.5455108,127.1198108
201,37.5456008,127.1198198
202,37.5456995,127.1198546
203,37.5458046,127.119879
204,37.5458899,127.1199231
205,37.5459791,127.1199665
206,37.5460663,127.1200161
207,37.5461556,127.120046
208,37.546247,127.1200967
209,37.5463338,127.1201281
210,37.5464304,127.1201569
211,37.5465244,127.1201731
212,37.5466175,127.1202098
213,37.54671,127.1202364
214,37.5468036,127.1202822
215,37.5468918,127.120305
216,37.5469869,127.1203489
217,37.5470945,127.1203893
218,37.5471853,127.1203994
219,37.5472821,127.120427
220,37.547369,127.1204834
221,37.5474635,127.1205083
222,37.54755,127.1205415
223,37.5476418,127.1205736
224,37.5477292,127.1206176
225,37.5478234,127.1206471
226,37.547923,127.1206765
227,37.5480188,127.1206892
228,37.548112,127.120699
229,37.5481994,127.1207441
230,37.5482982,127.1207843
231,37.5483889,127.1208369
232,37.5484809,127.1208683
233,37.5485753,127.1209034
234,37.5486686,127.12094
235,37.5487554,127.1209867
236,37.5488464,127.1210233
237,37.5489456,127.1210431
238,37.5490546,127.1210764
239,37.5491443,127.1211069
240,37.5492393,127.1211267
241,37.5493375,127.1211665
242,37.5494275,127.1211921
243,37.5495246,127.1212359
244,37.5496238,127.1212758
245,37.5497122,127.1213138
246,37.5498075,127.1213507
247,37.5498905,127.121395
248,37.5499842,127.1214217
249,37.5500711,127.1214599
250,37.5501651,127.121492
251,37.5502559,127.1215296
252,37.5503519,127.1215702
253,37.5504477,127.1215782
254,37.5505401,127.1216148
255,37.5506343,127.1216514
256,37.5507203,127.1216881
257,37.5508107,127.1217177
258,37.5509043,127.121746
259,37.5509929,127.1217873
260,37.551085,127.1218296
261,37.5511782,127.1218516
262,37.5512714,127.1218933
263,37.5513654,127.1219197
264,37.5514605,127.1219531
265,37.5515644,127.12197
266,37.5516474,127.1220206
267,37.5517384,127.1220503
268,37.551839,127.1220808
269,37.551928,127.1221112
270,37.5520204,127.1221639
271,37.5521137,127.1222082
272,37.5522116,127.1222678
273,37.5523058,127.1222813
274,37.5524115,127.1223063
275,37.5525085,127.1223334
276,37.5525934,127.1223882
277,37.5527003,127.1224145
278,37.5527861,127.1224797
279,37.5528767,127.122501
280,37.5529772,127.1225201
281,37.5530662,127.1225471
282,37.5531521,127.1226001
283,37.5532408,127.1226236
284,37.5533283,127.122652
285,37.5534177,127.122701
286,37.5535053,127.1227708
287,37.5536026,127.1228003
288,37.5536998,127.1228501
289,37.5537802,127.1229016
290,37.5538669,127.1229438
291,37.5539563,127.1229973
292,37.5540446,127.1230377
293,37.5541353,127.1230882
294,37.5541763,127.1231978
295,37.5541465,127.1233327
296,37.5541271,127.1234465
297,37.554093,127.1235612
298,37.5538499,127.1245905
299,37.5537371,127.1245875
300,37.5537364,127.1247145
301,37.5538136,127.1247975
302,37.5539034,127.1248407
303,37.5540088,127.1248658
304,37.5540787,127.124942
305,37.5541626,127.1249993
306,37.5542627,127.124997
307,37.554355,127.1249817
308,37.5544468,127.1249976
309,37.5545433,127.1250104
310,37.5546396,127.125026
311,37.554693,127.1251669
312,37.5546997,127.1253015
313,37.5547135,127.1254167
314,37.5546998,127.1255631
315,37.5547337,127.1257318
316,37.554702,127.125874
317,37.5546865,127.1260103
318,37.5546843,127.1261374
319,37.5546741,127.1262542
320,37.5546846,127.1263751
321,37.5547492,127.1262727
322,37.5548424,127.126251
323,37.5549039,127.1263376
324,37.5548853,127.1264624
325,37.5548786,127.1265848
326,37.5548962,127.1267074
327,37.5549045,127.1268367
328,37.5549008,127.1269563
329,37.5548943,127.1270772
330,37.5548962,127.1271974
331,37.554896,127.1273136
332,37.5548727,127.1274458
333,37.5548727,127.1275707
334,37.5548719,127.1277017
335,37.5548571,127.1278269
336,37.5548262,127.1279553
337,37.5548314,127.1280882
338,37.5548249,127.1282093
339,37.5548482,127.1283238
340,37.554855,127.1284561
341,37.5548499,127.1285828
342,37.5548312,127.1287025
343,37.5548318,127.1288159
344,37.5548515,127.1289372
345,37.5548689,127.1290632
346,37.5549454,127.1291319
347,37.5550348,127.1291606
348,37.5551262,127.1291954
349,37.5552283,127.1292049
350,37.5553293,127.1292195
351,37.5554276,127.1292534
352,37.5555233,127.129296
353,37.5556051,127.129377
354,37.5556972,127.1294377
355,37.555796,127.1294584
356,37.5558824,127.1295185
357,37.5559752,127.1295424
358,37.5560666,127.1295949
359,37.5561601,127.1296549
360,37.5562695,127.1296792
361,37.5563649,127.1296688
362,37.5564459,127.1297349
363,37.5565394,127.1297688
364,37.5566404,127.1298094
365,37.556735,127.1298505
366,37.5568314,127.1298856
367,37.5569274,127.1299103
368,37.5570206,127.129937
369,37.5571087,127.1299763
370,37.5571975,127.1300135
371,37.5572898,127.1300374
372,37.5573879,127.1300854
373,37.5574797,127.1301342
374,37.5575852,127.1301448
375,37.557675,127.1301647
376,37.5577642,127.1302147
377,37.5578565,127.1302649
378,37.5579515,127.1303104
379,37.5580438,127.1303618
380,37.5581579,127.1303905
381,37.5582466,127.1304203
382,37.5583519,127.1304545
383,37.5584441,127.1305093
384,37.558536,127.1305345
385,37.5586362,127.1305683
386,37.5587238,127.1306006
387,37.5588292,127.1306097
388,37.5589177,127.130654
389,37.5590186,127.1307125
