sortnum,lat, lng
0,37.4751005,126.9817425
1,37.4750906,126.9816826
2,37.4750575,126.98172509999996
3,37.4750341,126.98166689999994
4,37.4750116,126.98156659999997
5,37.4749898,126.9815026
6,37.4749416,126.9814867
7,37.4748999,126.98144909999996
8,37.4748382,126.98144750000006
9,37.4747943,126.98147790000009
10,37.4747527,126.98151299999996
11,37.4747049,126.98149710000008
12,37.4746769,126.9814311
13,37.4746682,126.98156599999992
14,37.4746557,126.9816452
15,37.4746098,126.98163870000008
16,37.4745711,126.98160940000002
17,37.4745181,126.98161290000009
18,37.4744719,126.98158480000006
19,37.4744162,126.98159409999994
20,37.4743654,126.9816313
21,37.4743208,126.98166300000004
22,37.4742716,126.98168099999998
23,37.4742177,126.98170890000006
24,37.4741809,126.98174360000009
25,37.4741312,126.98175700000002
26,37.4740787,126.9817607
27,37.4740285,126.98179129999994
28,37.4739892,126.98175500000002
29,37.4740085,126.98169529999996
30,37.4739887,126.9816346
31,37.4739631,126.9815843
32,37.4739581,126.98152270000004
33,37.4739328,126.9814669
34,37.4739034,126.9814182
35,37.4739069,126.9813616
36,37.4739419,126.98132350000004
37,37.4738979,126.9812826
38,37.473874,126.98123169999997
39,37.4738655,126.9811601
40,37.473857,126.98110240000004
41,37.4738301,126.98105050000004
42,37.473831,126.9809854
43,37.4737994,126.98093240000004
44,37.4737931,126.98086
45,37.4737831,126.9807985
46,37.4737391,126.98076500000002
47,37.4737462,126.98069399999996
48,37.4737489,126.98063219999996
49,37.4737593,126.98054809999996
50,37.4737377,126.9804927
51,37.4737273,126.98043400000006
52,37.4736817,126.98037669999997
53,37.4736413,126.98031600000002
54,37.4736122,126.98026729999992
55,37.4736126,126.98021040000005
56,37.4735771,126.9801456
57,37.4735637,126.98008559999994
58,37.4735314,126.9800437
59,37.4735168,126.97998159999996
60,37.4734966,126.979923
61,37.4734843,126.97985210000002
62,37.4735013,126.97979650000002
63,37.4734899,126.97973589999992
64,37.4734456,126.97972570000002
65,37.4734355,126.97965410000006
66,37.4733768,126.97960590000002
67,37.4733392,126.97955330000002
68,37.4733196,126.97949489999996
69,37.4733167,126.97943350000004
70,37.4733031,126.97936070000004
71,37.473282,126.97930799999996
72,37.4732517,126.97925699999996
73,37.473227,126.979195
74,37.4731837,126.97913070000004
75,37.4731436,126.97907150000005
76,37.4731144,126.97900900000002
77,37.4730804,126.97894380000002
78,37.4730614,126.97889080000004
79,37.4730139,126.97884850000004
80,37.4729841,126.9787966
81,37.4729717,126.97873589999996
82,37.4729323,126.97868370000003
83,37.4728917,126.9786302
84,37.4728588,126.97858789999998
85,37.4728224,126.97854759999996
86,37.4727984,126.9784978
87,37.4727745,126.97843260000002
88,37.4727535,126.97838160000003
89,37.4727208,126.97833220000008
90,37.4726762,126.97829550000006
91,37.4726457,126.9782447
92,37.472605,126.9782106
93,37.4725718,126.97815259999992
94,37.4725244,126.97813629999996
95,37.4724764,126.97814800000005
96,37.4724421,126.97809389999998
97,37.4724046,126.97804459999998
98,37.4723761,126.977985
99,37.472341,126.97794399999998
100,37.4722909,126.9779307
101,37.4722243,126.97791759999996
102,37.4721795,126.97787659999996
103,37.4721496,126.97781859999998
104,37.4720975,126.97780910000006
105,37.4720471,126.97777960000008
106,37.4719919,126.97775609999997
107,37.4719428,126.97775819999993
108,37.4718992,126.97773870000005
109,37.471856,126.97769619999995
110,37.4718045,126.97767150000004
111,37.4717577,126.9776647
112,37.4717196,126.9776246
113,37.4716734,126.97760820000008
114,37.471622,126.977577
115,37.4715756,126.97757409999996
116,37.471547,126.9775227
117,37.4714959,126.9775128
118,37.4714549,126.97748580000008
119,37.4713925,126.97746030000008
120,37.4713344,126.97744749999993
121,37.4712857,126.97745250000004
122,37.4712487,126.97741300000008
123,37.4712031,126.97740720000002
124,37.4711492,126.97740410000006
125,37.4711029,126.97741910000002
126,37.4710525,126.97740980000005
127,37.4709965,126.97741300000008
128,37.4709505,126.97741310000004
129,37.4709026,126.97739290000004
130,37.4708887,126.97733889999996
131,37.4708414,126.97731249999993
132,37.4708201,126.97724560000006
133,37.4707663,126.97722410000006
134,37.4707079,126.97723589999998
135,37.4706556,126.977266
136,37.470608,126.97727810000004
137,37.4705645,126.9772944
138,37.4705136,126.97729260000006
139,37.4704691,126.97731599999996
140,37.4704217,126.97733140000004
141,37.4703814,126.9773027
142,37.4703417,126.97733390000008
143,37.4702879,126.9773639
144,37.4702403,126.97739539999998
145,37.4702164,126.97744549999992
146,37.4701868,126.97749629999998
147,37.4701456,126.97752089999994
148,37.4700943,126.97752990000004
149,37.4700683,126.97758350000004
150,37.4700648,126.97764660000009
151,37.4700244,126.97769040000004
152,37.4700073,126.97775860000002
153,37.4699589,126.97779730000002
154,37.4699296,126.9778503
155,37.4698846,126.97787059999996
156,37.4698406,126.97790600000008
157,37.4698091,126.97795569999994
158,37.4697685,126.9779926
159,37.4697415,126.9780392
160,37.4697008,126.97807740000007
161,37.469658,126.97811389999993
162,37.4696231,126.97815259999992
