sortnum,lat, lng
0,37.689445,127.047285
1,37.689481,127.047392
2,37.689518,127.04751
3,37.68951,127.047639
4,37.689505,127.047758
5,37.689504,127.04788
6,37.689509,127.048002
7,37.689534,127.048117
8,37.689525,127.048243
9,37.689528,127.048364
10,37.689499,127.048474
11,37.689422,127.048547
12,37.689325,127.048566
13,37.689234,127.048588
14,37.689144,127.048545
15,37.689031,127.048563
16,37.688937,127.048623
17,37.68886,127.04869
18,37.688814,127.048798
19,37.688726,127.048825
20,37.688633,127.048823
21,37.688536,127.048809
22,37.688437,127.048805
23,37.688348,127.048839
24,37.688254,127.048895
25,37.688227,127.049018
26,37.688278,127.049119
27,37.688248,127.049247
28,37.688153,127.04928
29,37.688061,127.049276
30,37.687973,127.0493
31,37.687881,127.049329
32,37.687795,127.049369
33,37.687715,127.049423
34,37.687629,127.049482
35,37.687553,127.049547
36,37.687467,127.049597
37,37.687387,127.049662
38,37.687286,127.049705
39,37.687198,127.049757
40,37.687119,127.049829
41,37.687049,127.049901
42,37.686962,127.049963
43,37.686874,127.050024
44,37.68679,127.050079
45,37.686713,127.05014
46,37.68662,127.050198
47,37.686534,127.050252
48,37.686451,127.050309
49,37.686365,127.05036
50,37.686274,127.050439
51,37.686266,127.05056
52,37.686287,127.05069
53,37.686331,127.050798
54,37.686393,127.050886
55,37.686445,127.050987
56,37.686485,127.051103
57,37.686531,127.051214
58,37.686564,127.051322
59,37.686607,127.051425
60,37.686647,127.051538
61,37.686707,127.051634
62,37.686781,127.051704
63,37.686867,127.051747
64,37.686914,127.051844
65,37.686995,127.051906
66,37.687079,127.051966
67,37.687169,127.051994
68,37.687266,127.051994
69,37.687353,127.052045
70,37.687427,127.052132
71,37.68748,127.052231
72,37.687498,127.052356
73,37.687548,127.052465
74,37.687616,127.052545
75,37.687688,127.052635
76,37.687777,127.05268
77,37.687843,127.052768
78,37.68791,127.052854
79,37.687974,127.052937
80,37.688026,127.053037
81,37.688237,127.053494
82,37.688247,127.053611
83,37.68831,127.053702
84,37.68838,127.05379
85,37.68844,127.053886
86,37.68849,127.053998
87,37.688536,127.054111
88,37.688541,127.054228
89,37.688559,127.054343
90,37.688631,127.054422
91,37.6887,127.054498
92,37.688771,127.054582
93,37.688837,127.054673
94,37.688866,127.05479
95,37.688886,127.054902
96,37.688913,127.055029
97,37.68891,127.055152
98,37.688923,127.055272
99,37.688942,127.055394
100,37.688946,127.055511
101,37.688958,127.055636
102,37.68897,127.055753
103,37.688987,127.055882
104,37.688994,127.056003
105,37.689011,127.056119
106,37.689033,127.05623
107,37.689069,127.056338
108,37.689118,127.056436
109,37.689166,127.056547
110,37.689229,127.056628
111,37.689304,127.056706
112,37.689392,127.056733
113,37.689475,127.056663
114,37.689557,127.056597
115,37.689584,127.056721
116,37.689549,127.056829
117,37.68955,127.05696
118,37.68954,127.057079
119,37.689534,127.057195
120,37.689536,127.057328
121,37.689536,127.057442
122,37.689559,127.057558
123,37.689546,127.057681
124,37.689565,127.057803
125,37.689607,127.057905
126,37.689685,127.057969
127,37.689761,127.058063
128,37.689797,127.058173
129,37.689812,127.058285
130,37.689816,127.058401
131,37.689772,127.058501
132,37.689703,127.058577
133,37.689608,127.058593
134,37.689516,127.058615
135,37.689422,127.058654
136,37.689321,127.058687
137,37.689262,127.058774
138,37.689187,127.058848
139,37.689118,127.058939
140,37.68908,127.059045
141,37.689055,127.059158
142,37.689004,127.059264
143,37.688901,127.059251
144,37.688812,127.059211
145,37.688712,127.059227
146,37.688622,127.059221
147,37.688539,127.059172
148,37.688513,127.05906
149,37.68847,127.058946
150,37.688377,127.058937
151,37.688305,127.059012
152,37.688227,127.059078
153,37.688184,127.059186
154,37.688153,127.059311
