sortnum,lat, lng
0,37.63612860892781,126.91882637850416
1,37.6360920405541,126.91882569814766
2,37.6360249,126.91883970000004
3,37.6359755,126.91883340000004
4,37.6358796,126.91883610000002
5,37.6358248,126.91884389999996
6,37.63571190373661,126.91885160919264
7,37.63562354270947,126.91885534477456
8,37.635545724070745,126.9188619957008
9,37.6354856,126.9188686
10,37.6353681,126.9188593
11,37.6353208,126.91884849999995
12,37.6352111,126.91884900000002
13,37.6351575,126.91884989999994
14,37.63505720000002,126.91886848650825
15,37.63499829999999,126.91888055092612
16,37.6349423036486,126.91887181534425
17,37.6348739,126.91889700000002
18,37.6348259,126.9188894
19,37.63472077590574,126.91887676686474
20,37.634725,126.9190669128975
21,37.63483380000001,126.91905285767211
22,37.63488840000001,126.91904865092624
23,37.6349919,126.9190413
24,37.6350407,126.91904999999996
25,37.6351577,126.9190628
26,37.6351931,126.91910039999992
27,37.6351923,126.91924140000005
28,37.6351866,126.91931780000004
29,37.6351808,126.91938200000004
30,37.6351898,126.91950300000008
31,37.6351855,126.91956819999996
32,37.6351644,126.9196938
33,37.6351462,126.91975320000006
34,37.6351147,126.91987330000006
35,37.6350939,126.91993950000004
36,37.6350765,126.9200661
37,37.6350404,126.92011030000003
38,37.6349537,126.9201968
39,37.6349153,126.9202335
40,37.6348523,126.92032519999998
41,37.6348136,126.92035940000004
42,37.6346514,126.92052420000005
43,37.6346604,126.9205865
44,37.6346355,126.9206358
45,37.6345146,126.9207801
46,37.6344724,126.9208393
47,37.6344058,126.9209366
48,37.6343786,126.9209929
49,37.6343309,126.9211186
50,37.6343373,126.92118770000002
51,37.6343426,126.9213221
52,37.6343427,126.9214005
53,37.6343342,126.92153159999998
54,37.6343101,126.92158070000004
55,37.6342873,126.92171299999995
56,37.6342652,126.92177579999998
57,37.6342444,126.92183769999995
58,37.6342086,126.9219693
59,37.634199,126.92202880000002
60,37.6341622,126.92216170000006
61,37.6341399,126.92221089999998
62,37.6340786,126.9223111
63,37.6340332,126.92235440000002
64,37.6339401,126.92243080000004
65,37.633899,126.92246790000002
66,37.6338035,126.922553
67,37.6337546,126.92259220000004
68,37.6336739,126.92266589999996
69,37.6336258,126.9227022
70,37.6335349,126.9227684
71,37.6334946,126.92280700000003
72,37.6334427,126.92283229999998
73,37.6333572,126.92288559999996
74,37.6333066,126.92292550000002
75,37.6332087,126.9230076
76,37.6331774,126.92306740000004
77,37.6330774,126.92309039999998
78,37.6330316,126.92309909999994
79,37.6329422,126.92315989999996
80,37.6329058,126.9231936
81,37.6328102,126.92324370000006
82,37.6327543,126.92327790000002
83,37.6326647,126.9233448
84,37.6326211,126.92337569999997
85,37.6325705,126.92339200000004
86,37.6324587,126.9234391
87,37.6324224,126.92348170000002
88,37.6324053,126.9235966
89,37.6324214,126.92365470000004
90,37.632398,126.92381410000009
91,37.6324158,126.9238782
92,37.6324393,126.92401659999996
93,37.6324544,126.9240711
94,37.632469,126.92419070000004
95,37.632482,126.92425809999996
96,37.6325421,126.9243811
97,37.6325509,126.924447
98,37.6325913,126.92454900000008
99,37.6326241,126.92459529999996
100,37.6326643,126.9246445
101,37.6327324,126.9247699
102,37.6327677,126.9248076
103,37.6328484,126.92487030000008
104,37.6328923,126.92489840000007
105,37.6329832,126.92492500000004
106,37.6330338,126.92493330000002
107,37.6331121,126.92504899999994
108,37.6331405,126.92509829999996
109,37.6331936,126.92519489999997
110,37.6332335,126.92526870000006
111,37.633309,126.9253324
112,37.6333258,126.9253979
113,37.6333684,126.9254399
114,37.6333338,126.9254704
115,37.6333158,126.92553079999992
116,37.6332437,126.92563259999996
117,37.6332116,126.92567830000009
118,37.6330979,126.9257563
119,37.6330516,126.92579739999996
120,37.6330058,126.92590559999996
121,37.6329812,126.92595770000004
122,37.6328997,126.92605120000007
123,37.6328781,126.92610680000008
124,37.6328024,126.92623189999996
125,37.6327731,126.92628749999994
126,37.6327623,126.92643049999992
127,37.6327451,126.92649170000004
128,37.6327288,126.92657429999996
129,37.6326777,126.9266768
130,37.6326548,126.926733
131,37.6326056,126.92685219999998
132,37.6325712,126.92692179999996
133,37.6324998,126.92706429999998
134,37.6324707,126.9271116
135,37.632418,126.92722660000004
136,37.6323797,126.92728090000004
137,37.6323171,126.92736250000009
138,37.6322763,126.92738880000002
